Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,59.209999,59.910000,58.720001,59.910000,59.910000,3408700
2020-07-31,59.680000,59.709999,58.930000,59.270000,59.270000,5452500
2020-08-04,59.299999,60.090000,59.299999,59.570000,59.570000,5717600
2020-08-05,59.730000,60.259998,59.610001,60.180000,60.180000,3611700
2020-08-06,60.119999,60.650002,59.939999,60.490002,60.490002,3240700
2020-08-07,60.369999,61.250000,60.130001,61.200001,61.200001,3364200
2020-08-10,61.330002,62.000000,61.200001,62.000000,62.000000,2819500
2020-08-11,62.500000,63.599998,62.470001,63.209999,63.209999,9944500
2020-08-12,63.900002,64.379997,63.720001,63.970001,63.970001,4299400
2020-08-13,63.619999,63.889999,63.250000,63.480000,63.480000,1822300
2020-08-14,62.840000,63.919998,62.840000,63.430000,63.430000,3315800
2020-08-17,63.419998,63.439999,62.860001,62.959999,62.959999,1483400
2020-08-18,63.020000,63.020000,62.160000,62.400002,62.400002,1844300
2020-08-19,62.150002,62.869999,62.070000,62.430000,62.430000,1963000
2020-08-20,62.160000,62.660000,61.919998,62.200001,62.200001,2477300
2020-08-21,62.040001,62.299999,61.750000,62.200001,62.200001,2765600
2020-08-24,62.500000,64.010002,62.480000,64.010002,64.010002,4872700
2020-08-25,64.269997,64.699997,64.070000,64.550003,64.550003,2572900
2020-08-26,65.000000,66.550003,64.589996,66.370003,66.370003,5213700
2020-08-27,66.800003,67.400002,65.830002,66.400002,66.400002,4169200
2020-08-28,66.650002,66.650002,65.410004,65.779999,65.779999,4087200
2020-08-31,65.500000,65.669998,64.870003,65.070000,65.070000,5529400
2020-09-01,64.769997,65.040001,64.379997,64.989998,64.989998,3036600
2020-09-02,65.000000,65.650002,64.879997,64.940002,64.940002,2870300
2020-09-03,65.220001,65.550003,63.900002,64.169998,64.169998,3844000
2020-09-04,64.739998,64.900002,62.930000,63.419998,63.419998,4955400
2020-09-08,62.980000,63.320000,62.509998,63.070000,63.070000,2560400
2020-09-09,63.250000,64.059998,63.240002,63.680000,63.680000,2914000
2020-09-10,63.880001,63.910000,62.820000,63.009998,63.009998,3633500
2020-09-11,63.029999,63.610001,63.029999,63.310001,63.310001,3186800
2020-09-14,63.689999,63.900002,63.209999,63.380001,63.380001,8485800
2020-09-15,63.450001,63.720001,63.049999,63.209999,63.209999,5940000
2020-09-16,63.200001,63.630001,62.560001,62.560001,62.560001,3786400
2020-09-17,62.119999,62.639999,61.939999,62.529999,62.529999,4394500
2020-09-18,62.410000,62.590000,61.919998,62.080002,62.080002,11208900
2020-09-21,61.049999,61.130001,60.090000,60.799999,60.799999,6916500
2020-09-22,60.830002,61.430000,60.580002,60.919998,60.919998,4306000
2020-09-23,61.270000,61.779999,60.169998,60.169998,60.169998,4798700
